timestamp_pacific,event_id,event,direction,command,result,argument,source,opcode1,opcode2,nak_code,nak_reason,operational_state,operational_state_name,details
2026-07-26T18:36:16.733-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,0,,,0,Idle Normal,
2026-07-26T18:36:16.774-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:37:16.801-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:37:16.947-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:37:17.101-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:37:17.102-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:37:17.251-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:37:17.363-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,0,,,0,Idle Normal,
2026-07-26T18:37:17.403-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:38:16.431-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:38:16.568-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:38:16.739-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:38:16.739-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:38:16.888-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:38:17.000-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,0,,,0,Idle Normal,
2026-07-26T18:38:17.041-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:38:18.041-07:00,auto_outside_comm_for_shed_1,command_sent,outbound,outside_communication,pending,0,schedule,14,0,,,,,
2026-07-26T18:38:18.088-07:00,,link_ack,inbound,outside_communication,ack,,link_layer,14,,,,,,
2026-07-26T18:38:18.200-07:00,,application_ack,inbound,outside_communication,ack,,application_layer,3,14,,,,,
2026-07-26T18:38:18.240-07:00,auto_outside_comm_for_shed_1,command_completed,outbound,outside_communication,ok,0,schedule,14,0,,,,,
2026-07-26T18:38:32.248-07:00,shed_1,command_sent,outbound,shed,pending,13,schedule,1,13,,,,,
2026-07-26T18:38:32.326-07:00,,link_ack,inbound,shed,ack,,link_layer,1,,,,,,
2026-07-26T18:38:32.421-07:00,,application_ack,inbound,shed,ack,,application_layer,3,1,,,,,
